sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;400;25.0;37.3363094052;26.0525165603;2.24195916;1.0;46.0;23.2675;13.1417633425
10;400;24.1867732449;34.0587727319;26.4010147941;2.71963560818;1.0;13.0;6.1525;3.30820854089
20;400;23.3023603955;32.109188716;24.8228720737;2.04695432651;1.0;10.0;5.705;2.24119945565
30;400;22.803508502;30.3644529014;24.7930599205;2.06619935573;1.0;11.0;4.33;2.4537929823
40;400;22.0680764907;28.2134719593;23.4381786387;1.6535664784;1.0;6.0;3.9925;1.3883240796
50;400;21.6564078277;25.8843582111;22.625156751;0.974567592725;1.0;7.0;4.2175;1.37666036116
60;400;21.2367605816;24.5153013443;21.9701319949;0.860697465606;1.0;6.0;4.405;1.56874950199
70;400;20.7123151772;23.622023622;21.6679240504;0.763915797488;1.0;6.0;4.0175;1.57073032377
80;400;20.1742410018;23.3666428911;21.9865420926;1.25078647681;1.0;6.0;2.735;1.86407483755
90;400;19.5192212959;23.0651251893;21.3338248678;1.30208160578;1.0;6.0;2.9675;1.89247027718
100;400;19.1833260933;22.7156333832;21.4006279389;1.58922113646;1.0;6.0;2.56;2.17862341858
