sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;24.899799196;37.7491721764;26.1861509162;2.49789915601;1.0;46.0;23.025;13.3390545017
10;1000;24.062418831;32.9241552663;25.9137809315;2.13517161764;1.0;14.0;7.111;3.32636122512
20;1000;23.4946802489;30.8544972411;24.4051745625;1.27454092652;1.0;12.0;7.471;2.48055618763
30;1000;22.7815714998;28.4253408071;24.0058662557;1.30781700306;1.0;12.0;4.98;2.46649548956
40;1000;22.427661492;25.9422435421;22.8560504054;0.575291114239;1.0;8.0;5.42;1.36073509545
50;1000;21.9317121995;24.1246761636;22.3683802038;0.40689932262;1.0;8.0;5.274;1.61025588029
60;1000;21.3541565041;23.5372045919;22.1836519427;0.758014831931;1.0;7.0;3.94;2.15415876852
70;1000;20.6881608656;23.0434372436;21.5207629871;0.668401415787;1.0;6.0;3.216;1.71561767303
80;1000;20.1246117975;22.7376340018;21.714752883;1.00871563481;1.0;6.0;1.991;1.35311455539
90;1000;19.5448202857;22.360679775;22.1374254347;0.657567580945;1.0;3.0;1.108;0.405383768792
100;1000;19.1572440607;22.2036033112;22.1047544183;0.487680331454;1.0;3.0;1.037;0.227224558532
