sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;25.079872408;36.4965751818;26.158830919;2.35702459758;1.0;46.0;22.89;13.2656662102
10;100;24.5967477525;32.4345494805;25.5593677693;1.6549076216;1.0;15.0;9.97;3.89731959172
20;100;24.289915603;31.1287648325;25.9675317876;2.11832312482;1.0;16.0;6.18;4.13855047088
30;100;23.4946802489;29.6310647801;25.2223364169;1.75321010527;1.0;9.0;4.45;2.31246621597
40;100;23.1084400166;27.4772633281;24.0711432028;1.37842842087;1.0;10.0;6.06;2.95912149125
50;100;22.8473193176;25.4558441227;23.5067741514;0.722197338;1.0;10.0;5.63;2.90053443351
60;100;22.627416998;23.9374184072;22.9459563494;0.350837869516;1.0;10.0;6.15;2.84033448734
70;100;22.4944437584;23.4733891886;22.7133131326;0.213088102654;1.0;9.0;6.04;2.68670802284
80;100;22.2485954613;23.2379000772;22.7288295574;0.33212490008;1.0;9.0;4.02;3.1874127439
90;100;21.9544984001;22.9782505862;22.4310218445;0.399072688039;1.0;4.0;2.01;0.92190021152
100;100;21.5406592285;22.7596133535;22.1202841856;0.439349006325;1.0;3.0;1.85;0.804673846972
