sep=;
Experiment;userCount;permissionCount;EvoType;EvalFunc;POP_SIZE;NGEN;CXPB;MUTPB;Frequency;Runtime;Runtime_Sum;Continued;prevFile;Result_files
20150914-153507_Pareto_GenerationSize_Euclidean;46;46;Multi;Euclidean;100;100;0.25;0.25;10;17.131035;17.131035;False;;20150914-153507_Pareto_GenerationSize_Euclidean\healthcare_Multi
20150914-153507_Pareto_GenerationSize_Euclidean;46;46;Multi;Euclidean;100;200;0.25;0.25;10;29.553776;29.553776;False;;20150914-153507_Pareto_GenerationSize_Euclidean\healthcare_Multi
20150914-153507_Pareto_GenerationSize_Euclidean;46;46;Multi;Euclidean;100;400;0.25;0.25;10;51.116062;51.116062;False;;20150914-153507_Pareto_GenerationSize_Euclidean\healthcare_Multi
20150914-153507_Pareto_GenerationSize_Euclidean;46;46;Multi;Euclidean;100;1000;0.25;0.25;10;99.300305;99.300305;False;;20150914-153507_Pareto_GenerationSize_Euclidean\healthcare_Multi
