sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;627.0;1360.0;681.54;129.244838969;1.0;46.0;23.23;13.4950768801
10;100;626.0;1407.0;839.52;245.641221296;1.0;52.0;13.93;14.2676241891
20;100;626.0;1410.0;878.64;261.605218602;1.0;56.0;13.5;15.0063319969
30;100;625.0;1464.0;890.64;274.771342028;1.0;62.0;15.49;17.239196617
40;100;605.0;1501.0;868.46;285.239387883;1.0;64.0;18.35;19.1689201574
50;100;598.0;1525.0;880.4;302.377644676;1.0;71.0;20.11;21.5925426942
60;100;593.0;1553.0;886.35;298.857336366;1.0;74.0;20.77;22.369110398
70;100;589.0;1591.0;883.09;323.022509897;1.0;81.0;24.3;24.8227718033
80;100;525.0;1614.0;846.24;311.367600113;1.0;86.0;27.29;26.2968800431
90;100;499.0;1718.0;838.32;327.69329807;1.0;90.0;31.2;29.4034011638
100;100;492.0;1785.0;894.12;359.703691391;1.0;96.0;30.39;30.6903551625
