sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1353.0;707.54;161.416382068;1.0;46.0;22.93;14.0394123809
10;100;594.0;1136.0;729.04;162.761477015;1.0;9.0;5.34;2.80078560408
20;100;579.0;988.0;666.12;128.198695781;1.0;10.0;5.5;2.96141857899
30;100;548.0;857.0;651.79;94.260839695;1.0;7.0;3.64;1.68831276723
40;100;515.0;700.0;582.21;59.7771352609;1.0;6.0;3.49;1.539447953
50;100;488.0;609.0;539.32;41.0258162624;1.0;5.0;3.62;1.50850919785
60;100;477.0;551.0;515.72;27.6069121779;1.0;5.0;2.67;1.54954832129
70;100;463.0;524.0;485.7;20.8175406809;1.0;5.0;3.39;1.53554550568
80;100;443.0;509.0;482.88;23.8999079496;1.0;5.0;2.74;1.37564530312
90;100;431.0;503.0;492.97;19.8078040176;1.0;5.0;1.5;1.1
100;100;408.0;496.0;462.25;34.2106343116;1.0;5.0;2.61;1.57413468293
