sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1085.0;682.56;112.152959836;2.0;46.0;24.74;13.8993668921
10;100;894.0;1278.0;1080.39;108.939973839;2.0;2.0;2.0;0.0
20;100;828.0;1349.0;1105.94;144.245126088;2.0;2.0;2.0;0.0
30;100;798.0;1418.0;1105.54;179.024435204;2.0;2.0;2.0;0.0
40;100;785.0;1482.0;1141.05;211.262792512;2.0;2.0;2.0;0.0
50;100;732.0;1514.0;1122.02;227.918756578;2.0;2.0;2.0;0.0
60;100;702.0;1519.0;1107.52;227.708123702;2.0;2.0;2.0;0.0
70;100;694.0;1534.0;1101.92;251.081806589;2.0;2.0;2.0;0.0
80;100;656.0;1550.0;1072.27;255.752530975;2.0;2.0;2.0;0.0
90;100;646.0;1606.0;1107.06;285.290407129;2.0;2.0;2.0;0.0
100;100;622.0;1632.0;1109.69;283.957098696;2.0;2.0;2.0;0.0
