sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1406.0;694.94;161.733040533;1.0;46.0;21.41;12.7468388238
10;100;622.0;625.0;623.84;0.560713830755;16.0;20.0;18.47;1.13538539712
20;100;612.0;619.0;617.91;0.837794724261;20.0;24.0;20.63;0.890561620552
30;100;604.0;606.0;605.69;0.523354564325;21.0;23.0;21.46;0.78
40;100;592.0;593.0;592.52;0.499599839872;21.0;24.0;21.74;0.610245852096
50;100;590.0;591.0;590.96;0.195959179423;21.0;24.0;23.01;0.519519008314
60;100;589.0;590.0;589.95;0.217944947177;21.0;26.0;23.92;0.577581163128
70;100;589.0;589.0;589.0;0.0;22.0;27.0;24.06;0.613514466007
80;100;589.0;589.0;589.0;0.0;22.0;27.0;24.06;0.613514466007
90;100;589.0;589.0;589.0;0.0;22.0;29.0;24.19;0.955981171363
100;100;589.0;589.0;589.0;0.0;22.0;30.0;24.36;1.33805829469
