sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;626.0;1344.0;681.9;119.521169673;1.0;46.0;22.54;13.473989758
10;100;622.0;623.0;622.9;0.3;20.0;22.0;20.45;0.653834841531
20;100;619.0;621.0;620.67;0.617332973362;20.0;21.0;20.06;0.237486841741
30;100;617.0;618.0;617.94;0.237486841741;20.0;20.0;20.0;0.0
40;100;614.0;616.0;615.14;0.374699879904;20.0;22.0;20.12;0.354400902933
50;100;610.0;612.0;611.0;0.2;20.0;21.0;20.07;0.255147016443
60;100;608.0;610.0;609.12;0.381575680567;20.0;21.0;20.04;0.195959179423
70;100;605.0;607.0;606.21;0.637102817448;20.0;21.0;20.02;0.14
80;100;603.0;603.0;603.0;0.0;20.0;20.0;20.0;0.0
90;100;601.0;601.0;601.0;0.0;20.0;20.0;20.0;0.0
100;100;598.0;599.0;598.98;0.14;20.0;20.0;20.0;0.0
