sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
0;100;0.00283404746173;0.00381388369514;0.00354767423201;0.000178678309463
10;44;0.00381390121082;0.00385525316983;0.00384596820697;6.10961775289e-06
20;47;0.00383449941806;0.00387951597432;0.00387245600815;6.84074413757e-06
30;47;0.00383449941806;0.00391365057201;0.00390409840705;1.19559521963e-05
40;39;0.00387061489776;0.00394227065833;0.00393233386438;1.51114520463e-05
50;42;0.00388288617016;0.00397483182573;0.00395978045432;1.11443648198e-05
60;48;0.00392042526635;0.00401500984413;0.00400161852289;1.45385693596e-05
70;35;0.0039396152855;0.00404249395394;0.00403364141303;1.6616465009e-05
80;39;0.00402868039781;0.00405996585355;0.00405432091277;4.03012279629e-06
90;54;0.00395256916996;0.00408481823547;0.00406959215737;2.08639949052e-05
100;45;0.00395256916996;0.0041137975095;0.00410013330268;2.70797495736e-05
