sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1337.0;684.64;129.661136814;1.0;46.0;23.42;13.2515508526
10;100;626.0;1392.0;830.02;236.697105179;1.0;52.0;15.69;15.783342485
20;100;626.0;1420.0;831.1;250.350214699;1.0;57.0;18.13;17.6253538972
30;100;626.0;1454.0;838.97;262.530967888;1.0;60.0;19.2;18.8568290017
40;100;626.0;1506.0;830.69;276.03016846;1.0;68.0;23.95;21.994260615
50;100;626.0;1560.0;849.14;300.729846208;1.0;72.0;26.18;23.7816652066
60;100;626.0;1560.0;818.4;284.85512107;1.0;74.0;28.05;24.1397493773
70;100;626.0;1615.0;802.13;273.921435999;1.0;76.0;29.88;24.3972457462
80;100;626.0;1645.0;829.52;306.81318355;1.0;79.0;30.86;26.2442450834
90;100;626.0;1645.0;845.79;312.480536834;1.0;82.0;31.1;27.9315234099
100;100;590.0;1667.0;841.54;315.453464714;1.0;87.0;33.0;30.3196306046
