sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;629.0;1110.0;676.68;102.602424923;2.0;46.0;22.88;12.5580890266
10;100;626.0;626.0;626.0;0.0;18.0;28.0;24.97;1.60284122732
20;100;624.0;626.0;625.27;0.630158710168;18.0;36.0;22.82;4.84433689993
30;100;622.0;623.0;622.16;0.366606055596;19.0;23.0;19.76;0.991160935469
40;100;617.0;619.0;618.62;0.703988636272;19.0;22.0;19.67;0.56665686266
50;100;612.0;613.0;612.44;0.49638694584;19.0;20.0;19.2;0.4
60;100;608.0;609.0;608.65;0.476969600708;20.0;22.0;20.86;0.600333240792
70;100;605.0;607.0;606.81;0.41701318924;21.0;23.0;21.84;0.83330666624
80;100;598.0;602.0;599.79;1.16871724553;21.0;23.0;21.27;0.465939910289
90;100;593.0;596.0;595.61;0.54580216196;21.0;22.0;21.35;0.476969600708
100;100;589.0;592.0;590.73;0.52640288753;21.0;23.0;21.3;0.479583152331
