sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;626.0;1362.0;674.52;121.989711042;1.0;45.0;23.59;12.264660615
10;100;609.0;613.0;611.27;1.1122499719;13.0;15.0;13.68;0.691086101727
20;100;597.0;601.0;599.86;1.10471715837;13.0;15.0;13.58;0.602992537267
30;100;580.0;586.0;584.1;1.47309198627;14.0;15.0;14.02;0.14
40;100;566.0;570.0;568.21;0.951787791475;14.0;14.0;14.0;0.0
50;100;550.0;557.0;554.93;1.42306008306;14.0;14.0;14.0;0.0
60;100;537.0;540.0;539.0;0.812403840464;14.0;14.0;14.0;0.0
70;100;524.0;526.0;525.24;0.763151361134;14.0;14.0;14.0;0.0
80;100;510.0;513.0;511.17;0.872410453858;14.0;14.0;14.0;0.0
90;100;493.0;497.0;495.73;0.661135387043;14.0;14.0;14.0;0.0
100;100;474.0;479.0;476.91;1.42193530092;14.0;14.0;14.0;0.0
