sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1275.0;716.39;155.109760815;1.0;46.0;20.24;13.5772751316
10;100;1140.0;1359.0;1261.38;59.5076095974;1.0;1.0;1.0;0.0
20;100;1064.0;1423.0;1256.54;98.7839480887;1.0;1.0;1.0;0.0
30;100;1009.0;1462.0;1239.31;127.866234401;1.0;1.0;1.0;0.0
40;100;875.0;1508.0;1247.24;167.116254147;1.0;1.0;1.0;0.0
50;100;760.0;1558.0;1182.35;231.260605162;1.0;1.0;1.0;0.0
60;100;726.0;1567.0;1151.39;252.101959334;1.0;1.0;1.0;0.0
70;100;663.0;1578.0;1132.97;262.986366757;1.0;1.0;1.0;0.0
80;100;616.0;1600.0;1152.9;285.484342828;1.0;1.0;1.0;0.0
90;100;578.0;1647.0;1111.19;309.797375554;1.0;1.0;1.0;0.0
100;100;576.0;1699.0;1162.1;330.712367474;1.0;1.0;1.0;0.0
