sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;628.0;1300.0;693.47;128.874703103;1.0;46.0;22.02;13.9269379262
10;100;618.0;621.0;619.45;0.753325958666;20.0;22.0;20.89;0.691303117308
20;100;612.0;615.0;613.92;0.673498329619;20.0;23.0;20.84;1.18084715353
30;100;609.0;610.0;609.75;0.433012701892;20.0;23.0;20.62;0.83402637848
40;100;606.0;607.0;606.51;0.499899989998;20.0;24.0;20.68;1.28747815515
50;100;603.0;603.0;603.0;0.0;20.0;21.0;20.06;0.237486841741
60;100;600.0;601.0;600.71;0.453762052182;21.0;22.0;21.02;0.14
70;100;598.0;599.0;598.02;0.14;21.0;23.0;21.26;0.482078831728
80;100;598.0;598.0;598.0;0.0;21.0;22.0;21.33;0.47021271782
90;100;594.0;595.0;594.34;0.473708771293;21.0;22.0;21.01;0.0994987437107
100;100;589.0;590.0;589.64;0.48;22.0;22.0;22.0;0.0
