sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;25.0599281723;36.4142829121;25.8649148074;2.11569894044;1.0;46.0;24.37;13.0235594213
10;100;24.9198715888;34.3074335968;26.7010440969;2.39880056174;1.0;17.0;7.91;4.4656354531
20;100;24.4540385213;32.2800247831;26.7602846572;2.43868100908;1.0;13.0;5.93;3.86588928967
30;100;23.4733891886;30.6431068921;26.484615731;2.66742002303;1.0;10.0;3.71;2.24630808217
40;100;22.7376340018;28.4956136976;24.1743229352;1.65593194987;1.0;6.0;4.19;1.71286310019
50;100;21.9544984001;25.3771550809;23.6168220503;1.16005010521;1.0;7.0;3.18;1.74573766643
60;100;21.4476105895;24.1660919472;22.6264242303;1.05590082506;1.0;7.0;3.78;2.06194083329
70;100;20.7364413533;23.4520787991;22.0560665343;0.984849752823;1.0;7.0;3.91;2.33278803152
80;100;20.2977831302;22.8910462845;21.577813378;0.963311903383;1.0;7.0;3.8;2.30217288664
90;100;19.8494332413;22.627416998;21.7905983336;1.00490012682;1.0;7.0;2.07;1.70443539039
100;100;19.287301522;22.360679775;22.0913532324;0.722573431196;1.0;3.0;1.2;0.529150262213
110;100;19.0525588833;22.2485954613;21.0715395007;1.41429242703;1.0;3.0;1.74;0.912359578237
120;100;18.1659021246;22.1133443875;20.4666629741;1.40915105807;1.0;3.0;1.92;0.77045441137
130;100;17.4355957742;22.0680764907;21.5697506495;1.11617960893;1.0;3.0;1.22;0.521152568832
140;100;17.0587221092;21.9772609758;21.4786347191;1.39579747867;1.0;3.0;1.2;0.565685424949
150;100;16.1864140562;21.9544984001;21.7129433685;1.06211594247;1.0;3.0;1.08;0.36551333765
160;100;15.2643375225;21.9317121995;21.2790183045;1.52754050511;1.0;3.0;1.2;0.469041575982
170;100;15.0665191733;21.9089023002;21.70265837;1.06518527823;1.0;3.0;1.06;0.310483493925
180;100;14.6628782986;21.9089023002;21.6880191797;1.13570421375;1.0;3.0;1.06;0.310483493925
190;100;13.7840487521;21.9089023002;21.6704425888;1.2457600118;1.0;3.0;1.06;0.310483493925
200;100;13.7477270849;21.9089023002;21.4992420326;1.6859988211;1.0;3.0;1.1;0.412310562562
