sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
0;200;0.00268274449098;0.00382282551211;0.00353858376939;0.000187867242614
10;61;0.00385213861919;0.00394772421678;0.00392606504096;9.81189236367e-06
20;60;0.00387036296808;0.0039906941639;0.00397109277234;1.34837828201e-05
30;60;0.00391050952037;0.00402095259725;0.0040123119818;1.17922850415e-05
40;53;0.00391050952037;0.00404844409623;0.00403726944743;1.16904676831e-05
50;65;0.00391365057201;0.00406944273061;0.0040598094409;1.95888349267e-05
60;57;0.00392947205844;0.00409796422885;0.00408801911218;1.78112113842e-05
70;79;0.00399142308897;0.00410881792113;0.00410307402232;1.27167250288e-05
80;64;0.00397153874339;0.00411975969177;0.00411017912025;1.57595071752e-05
90;64;0.00396825396825;0.00413819499036;0.00413170890378;1.74774317418e-05
100;79;0.00405645304053;0.0041682217113;0.0041620801129;1.41334435437e-05
110;53;0.00399142308897;0.00418348628578;0.00417794677728;1.85131884818e-05
120;59;0.00398808793665;0.00421453376103;0.00420367555598;2.57729038733e-05
130;67;0.00407411050479;0.00425031616653;0.00423216545099;2.25075084787e-05
140;65;0.00420074360447;0.00427879655032;0.0042722329617;7.19580742037e-06
150;69;0.00403212028267;0.0043036771663;0.00428954584134;2.97882997514e-05
160;58;0.00412114090571;0.00432051149674;0.00431555599755;2.09435453427e-05
170;59;0.00408481823547;0.00435046121272;0.00433787203064;3.55762109463e-05
180;64;0.00415846767281;0.00436349211847;0.00435269930583;2.55304932291e-05
190;73;0.00403902702124;0.00439883194858;0.00438563689392;2.94376169252e-05
200;66;0.0041396758822;0.00442136789262;0.00441163497327;3.03406643351e-05
210;55;0.00419295943893;0.00447692491643;0.00446433432322;2.50033423936e-05
220;54;0.00426464775535;0.00454451569801;0.00452208113818;4.24211173184e-05
230;76;0.00444300772332;0.00456440678262;0.00455599234323;9.97876233355e-06
240;69;0.00416986851762;0.00459986521353;0.00457944065478;4.57393295141e-05
250;53;0.0041434135051;0.00466265896688;0.00462921651584;6.12527831099e-05
260;55;0.00423632661467;0.00470052022027;0.00468510105045;3.92157486929e-05
270;73;0.00436632899187;0.00482000122259;0.00478716725774;5.73973244275e-05
280;67;0.00441547683826;0.00494287849714;0.00491777323418;7.02414828103e-05
290;65;0.00442002912965;0.00499478346602;0.00495148230426;5.94914960815e-05
300;58;0.00436194342537;0.0050280832963;0.00499804248899;9.13893485142e-05
310;62;0.00448530595855;0.00506207160131;0.0050490874676;4.92487557016e-05
320;70;0.00455862454576;0.00515384080342;0.00513928624936;7.72186157602e-05
330;62;0.00455862454576;0.0051757511286;0.00515575327698;8.06880183577e-05
340;58;0.00458899571232;0.00523560209424;0.00519371433668;7.06948798623e-05
350;58;0.00463573575478;0.00533754869058;0.00525346047208;8.88762163122e-05
360;71;0.00485655687464;0.00533754869058;0.00531042259992;4.56135360689e-05
370;72;0.00465698186657;0.00539502486019;0.00535164004075;0.000105063533483
380;65;0.00466771724805;0.0054287319106;0.0053924236711;9.82662919918e-05
