sep=;
Experiment;userCount;permissionCount;EvoType;EvalFunc;POP_SIZE;NGEN;CXPB;MUTPB;Frequency;Runtime;Runtime_Sum;Continued;prevFile;Result_files
20150914-154540_Single_Obj1_Popsize;46;46;Single;Saenko_Euclidean;200;1000;0.25;0.25;10;210.858576;210.858576;False;;20150914-154540_Single_Obj1_Popsize\healthcare_Single_Saenko_Euclidean
20150914-154540_Single_Obj1_Popsize;46;46;Single;Saenko_Euclidean;400;1000;0.25;0.25;10;590.730201;590.730201;False;;20150914-154540_Single_Obj1_Popsize\healthcare_Single_Saenko_Euclidean
20150914-154540_Single_Obj1_Popsize;46;46;Single;Saenko_Euclidean;1000;1000;0.25;0.25;10;1032.599486;1032.599486;False;;20150914-154540_Single_Obj1_Popsize\healthcare_Single_Saenko_Euclidean
