sep=;
Experiment;userCount;permissionCount;EvoType;EvalFunc;POP_SIZE;NGEN;CXPB;MUTPB;Frequency;Runtime;Runtime_Sum;Continued;prevFile;Result_files
20150914-154540_Single_Saenko_Euclidean;46;46;Single;Saenko_Euclidean;100;100;0.25;0.25;10;17.363034;17.363034;False;;20150914-154540_Single_Saenko_Euclidean\healthcare_Single_Saenko_Euclidean
20150914-154540_Single_Saenko_Euclidean;46;46;Single;Saenko_Euclidean;100;200;0.25;0.25;10;28.43969;28.43969;False;;20150914-154540_Single_Saenko_Euclidean\healthcare_Single_Saenko_Euclidean
20150914-154540_Single_Saenko_Euclidean;46;46;Single;Saenko_Euclidean;100;400;0.25;0.25;10;64.415837;64.415837;False;;20150914-154540_Single_Saenko_Euclidean\healthcare_Single_Saenko_Euclidean
20150914-154540_Single_Saenko_Euclidean;46;46;Single;Saenko_Euclidean;100;1000;0.25;0.25;10;140.149347;140.149347;False;;20150914-154540_Single_Saenko_Euclidean\healthcare_Single_Saenko_Euclidean
