sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;622.0;1408.0;682.196;123.937248574;1.0;46.0;23.386;13.1580775192
10;1000;553.0;900.0;626.494;82.2273066809;1.0;12.0;6.225;2.75542646427
20;1000;508.0;616.0;536.077;21.31387039;1.0;10.0;5.349;2.45910532511
30;1000;438.0;544.0;495.538;30.7175284813;1.0;5.0;2.124;1.40307661943
40;1000;313.0;507.0;475.721;58.1414925763;1.0;2.0;1.149;0.356088472153
50;1000;202.0;488.0;440.206;101.335154631;1.0;2.0;1.159;0.365676086175
60;1000;127.0;481.0;440.801;111.096009825;1.0;2.0;1.112;0.315366453511
70;1000;117.0;480.0;298.5;181.5;1.0;2.0;1.5;0.5
80;1000;117.0;480.0;298.5;181.5;1.0;2.0;1.5;0.5
90;1000;117.0;480.0;298.5;181.5;1.0;2.0;1.5;0.5
100;1000;117.0;480.0;298.5;181.5;1.0;2.0;1.5;0.5
