sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;624.0;1323.0;685.452;134.626957538;1.0;46.0;23.469;13.4024266086
10;1000;571.0;589.0;583.257;4.23213315008;9.0;14.0;10.625;1.04133327998
20;1000;535.0;549.0;545.814;2.10366442191;10.0;15.0;11.181;1.02481169002
30;1000;509.0;518.0;515.495;1.6935096693;11.0;14.0;12.015;0.802978829111
40;1000;462.0;478.0;473.14;3.28609190377;11.0;12.0;11.201;0.400748050526
50;1000;430.0;443.0;438.538;3.19696043141;11.0;12.0;11.072;0.258487910742
60;1000;396.0;407.0;403.486;2.59380107179;11.0;12.0;11.061;0.239330315673
70;1000;362.0;375.0;371.602;2.65096133506;11.0;12.0;11.092;0.289025950392
80;1000;332.0;345.0;342.215;2.48490945509;11.0;12.0;11.315;0.464515877016
90;1000;301.0;313.0;310.058;2.48930432049;11.0;13.0;11.742;0.515204813642
100;1000;272.0;283.0;280.253;2.48656208449;12.0;13.0;12.217;0.412202620079
