sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;617.0;1354.0;677.444;115.738813127;1.0;46.0;23.801;13.1669813929
10;1000;602.0;1432.0;912.944;238.96896632;1.0;51.0;8.021;8.19564268377
20;1000;580.0;1506.0;940.05;271.473931529;1.0;55.0;8.697;9.18178582848
30;1000;569.0;1544.0;976.761;299.385156411;1.0;57.0;8.979;10.1095281294
40;1000;566.0;1604.0;1007.61;321.071496555;1.0;63.0;9.655;11.8017784677
50;1000;550.0;1634.0;1035.656;335.006975545;1.0;67.0;9.683;12.6581401082
60;1000;538.0;1704.0;1068.722;352.361273008;1.0;72.0;9.616;13.7841410324
70;1000;527.0;1738.0;1101.784;367.402388865;1.0;75.0;9.584;14.5787840371
80;1000;527.0;1792.0;1117.149;378.348721154;1.0;81.0;9.604;15.469621327
90;1000;522.0;1804.0;1107.483;377.615338289;1.0;87.0;10.27;16.7078155364
100;1000;521.0;1822.0;1099.515;384.814087288;1.0;95.0;11.672;18.5604530117
