sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;624.0;1352.0;676.609;118.079397521;1.0;46.0;23.676;12.8740445859
10;1000;566.0;588.0;582.376;4.03418194929;12.0;21.0;15.442;1.40236799735
20;1000;533.0;541.0;538.869;1.36008786481;14.0;18.0;15.32;1.17796434581
30;1000;511.0;518.0;516.152;1.39817595459;14.0;17.0;15.883;0.957763540755
40;1000;491.0;498.0;495.959;1.4883947729;15.0;17.0;15.241;0.430022092456
50;1000;466.0;474.0;471.747;1.58018701425;15.0;16.0;15.003;0.0546900356555
60;1000;437.0;450.0;447.513;2.14518787056;15.0;16.0;15.048;0.213766227454
70;1000;408.0;418.0;414.62;2.31723973727;15.0;16.0;15.036;0.186290096355
80;1000;384.0;391.0;388.982;1.64793082379;15.0;16.0;15.003;0.0546900356555
90;1000;352.0;362.0;359.432;1.94509022927;15.0;15.0;15.0;0.0
100;1000;327.0;333.0;331.41;1.36231420752;15.0;15.0;15.0;0.0
