sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;622.0;1362.0;687.805;140.319994922;1.0;46.0;23.639;13.4546898515
10;1000;968.0;1494.0;1259.211;131.321919263;1.0;1.0;1.0;0.0
20;1000;748.0;1582.0;1247.45;218.937432843;1.0;1.0;1.0;0.0
30;1000;670.0;1655.0;1179.095;284.368904726;1.0;1.0;1.0;0.0
40;1000;622.0;1706.0;1170.843;290.72020286;1.0;1.0;1.0;0.0
50;1000;562.0;1741.0;1192.645;302.867500691;1.0;1.0;1.0;0.0
60;1000;552.0;1767.0;1226.5;314.430494704;1.0;1.0;1.0;0.0
70;1000;547.0;1788.0;1251.618;323.141142654;1.0;1.0;1.0;0.0
80;1000;544.0;1807.0;1261.674;332.034705602;1.0;1.0;1.0;0.0
90;1000;542.0;1828.0;1276.407;336.676654004;1.0;1.0;1.0;0.0
100;1000;542.0;1831.0;1290.151;340.406010815;1.0;1.0;1.0;0.0
