sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;622.0;1376.0;684.372;133.956192899;1.0;46.0;23.229;13.047319993
10;1000;567.0;595.0;588.061;5.1694563544;10.0;15.0;12.306;0.991142774781
20;1000;524.0;537.0;531.792;2.20425406884;11.0;15.0;13.127;0.645655480887
30;1000;489.0;501.0;497.44;2.66127788853;12.0;14.0;12.267;0.572460478985
40;1000;449.0;463.0;459.76;2.39674779649;12.0;13.0;12.173;0.378247273619
50;1000;414.0;428.0;424.125;2.9851926236;12.0;13.0;12.029;0.16780643611
60;1000;380.0;391.0;387.284;2.71759894024;12.0;12.0;12.0;0.0
70;1000;339.0;351.0;347.499;2.43556954325;12.0;12.0;12.0;0.0
80;1000;293.0;310.0;304.461;3.70249632005;12.0;12.0;12.0;0.0
90;1000;256.0;266.0;263.512;1.95649073599;12.0;12.0;12.0;0.0
100;1000;225.0;235.0;232.317;1.87203392063;12.0;12.0;12.0;0.0
