sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;624.0;1371.0;688.45;139.638989899;1.0;46.0;23.536;13.3908440361
10;1000;834.0;1010.0;946.006;23.9528278915;1.0;1.0;1.0;0.0
20;1000;550.0;692.0;611.514;23.9445568763;1.0;1.0;1.0;0.0
30;1000;484.0;561.0;503.763;10.2514794542;1.0;1.0;1.0;0.0
40;1000;480.0;518.0;487.331;8.5429174759;1.0;1.0;1.0;0.0
50;1000;480.0;512.0;482.746;5.49103669629;1.0;1.0;1.0;0.0
60;1000;480.0;520.0;483.204;5.23396446301;1.0;1.0;1.0;0.0
70;1000;480.0;500.0;482.633;4.60394515606;1.0;1.0;1.0;0.0
80;1000;480.0;525.0;481.747;5.12805918453;1.0;1.0;1.0;0.0
90;1000;480.0;506.0;483.443;5.82792853422;1.0;1.0;1.0;0.0
100;1000;480.0;520.0;485.148;8.73327521609;1.0;1.0;1.0;0.0
