sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
0;200;0.00266548860119;0.00378799266632;0.00353867859828;0.000199350360413
10;127;0.00379667168849;0.0038764576434;0.0038705592397;1.16818043923e-05
20;141;0.00384343178162;0.00391365057201;0.0038938371679;1.13403501886e-05
30;135;0.00385544101196;0.00399811899703;0.00392921933138;1.39911653803e-05
40;126;0.00390778936326;0.00403212028267;0.00401803737707;1.49604831382e-05
50;132;0.00391409174429;0.00405645304053;0.00404377058525;2.40423076535e-05
60;120;0.0039299845066;0.00411746421123;0.00409053959563;3.23108812072e-05
70;127;0.00389216797885;0.00415091975745;0.0041292489952;3.23198900419e-05
80;126;0.00399895400444;0.00420074360447;0.00418834769238;3.37876322035e-05
90;120;0.00405405796166;0.00424033735399;0.00421595755515;3.36951112206e-05
100;133;0.00399222567162;0.00428109318698;0.00426046106718;4.03355203768e-05
110;127;0.00406465064297;0.004335909667;0.0043070081604;4.95446330464e-05
120;126;0.00404006470776;0.00438400695613;0.00434531566631;6.13390447366e-05
130;118;0.00416014321511;0.0044383827956;0.00441654662601;5.1536278047e-05
140;113;0.0041948322844;0.0045141984733;0.00448286766476;4.20409242976e-05
150;115;0.00413376084787;0.00454863658743;0.00451468831775;6.9024318264e-05
160;130;0.00419093421091;0.00457373303877;0.00453908172286;6.55782245155e-05
170;112;0.00419874146532;0.00460441522754;0.00457235408548;7.23910102137e-05
180;120;0.00423443283521;0.00464632166219;0.00461879916908;6.60668514809e-05
190;124;0.00429184549356;0.0047003834794;0.00466482329624;6.48479088208e-05
200;127;0.00417160861539;0.00473939292937;0.00470262378351;8.18075575603e-05
210;118;0.00430869149719;0.00485655687464;0.00473841707712;7.79190659699e-05
220;119;0.00440964580757;0.00491225628096;0.00487657434035;8.74705381168e-05
230;133;0.00434299950722;0.00497650006404;0.00490255529654;0.000124992144897
240;124;0.00438261359852;0.0050365760925;0.00496919742532;0.000142705606684
250;113;0.00452311609902;0.0051637150367;0.00510536368302;0.000104572010803
260;131;0.00435170792609;0.00521588529531;0.00517258999911;0.00011779603022
270;139;0.00439156790699;0.0052541554524;0.00520504717568;0.000138225296068
280;110;0.00451331693582;0.00530123703396;0.00525609647346;0.000121334495756
290;127;0.00453298071138;0.00535783673625;0.00529419519113;0.000157500698939
300;133;0.00442795343639;0.00542485043295;0.00538249709405;0.000123163350913
310;118;0.00459874812045;0.00555776148551;0.00547928000958;0.000174889165357
320;115;0.00464603088953;0.00567161033853;0.0055775034088;0.000176962810743
330;111;0.00470035598284;0.00572120981792;0.00565893242079;0.000170619351236
340;123;0.0045280401782;0.00575161730743;0.00567470995603;0.000223936159403
350;135;0.00474524670142;0.00586751863991;0.00580313256949;0.000201357962163
360;119;0.00469483568075;0.00592263131393;0.00585546910829;0.000194438822799
370;118;0.00485736316113;0.00600253613139;0.00593577333333;0.000202773613426
380;123;0.00465137699705;0.00611032152962;0.00598575993437;0.000232602057911
390;140;0.00466212601212;0.00617283950617;0.00607843979652;0.000253821532247
400;140;0.00489449273139;0.0063176227128;0.00622295513214;0.00026026479867
410;122;0.0050660899514;0.00648816833045;0.00636955945124;0.000281427723716
420;121;0.00497144211695;0.00664169104773;0.00655162522324;0.000235641856212
430;123;0.00495185714663;0.00665766773638;0.00655915516756;0.000324371374967
440;119;0.00519632807122;0.00672278202801;0.00664776483411;0.000284717020498
450;109;0.00492610837438;0.00685913953608;0.00674061664835;0.000303651839132
460;146;0.00501808114743;0.00691252243436;0.00679960919534;0.000333772897205
470;130;0.00501133611683;0.00700442134384;0.00682074318071;0.000460280157603
480;124;0.00488824397379;0.00711985361865;0.00701883813573;0.000325161586406
490;129;0.00482707304334;0.00720016140665;0.00705729272419;0.00040904845014
500;136;0.00510838279994;0.00730460403519;0.00715104740652;0.000450250545935
510;117;0.00499792912459;0.0074138845463;0.0072212999346;0.000487308821586
520;102;0.00487581952909;0.00759978860067;0.00737706610608;0.000489285440196
530;130;0.00524982903492;0.00796316767921;0.00770639327239;0.000510604148241
540;121;0.00516649812996;0.00810666508295;0.00787395917228;0.000556976575586
550;115;0.00476242282198;0.00816635784438;0.00796896656523;0.000584602558306
560;117;0.00516649812996;0.00825851659972;0.00812868949854;0.000470403565762
570;122;0.00539558021727;0.0085557189404;0.0082902775303;0.000662854300297
580;128;0.00526542867655;0.00862641220478;0.00845725586546;0.000568675060312
590;133;0.00573904049266;0.00884994524499;0.0085594793954;0.000603622163727
600;134;0.00528909761657;0.00909259620467;0.0088442394916;0.000763351591082
610;132;0.00533743368534;0.00949904050151;0.00919512176905;0.000845071226569
620;145;0.00544700221535;0.00954779859921;0.00942217460831;0.00060073695331
630;125;0.00535385008724;0.0102016610626;0.00979017566575;0.00117391713466
640;133;0.00515912247396;0.0102016610626;0.00988575354884;0.00102957170259
650;119;0.00550894390789;0.0102016610626;0.0100115341675;0.000781295334155
660;134;0.0054732851624;0.0102016610626;0.00991917243762;0.000990554428226
670;120;0.00542110369111;0.0102016610626;0.00981735837093;0.0011197405608
680;122;0.00572885520088;0.0102016610626;0.00993972754554;0.000929954316667
690;135;0.00540404693489;0.0102627218353;0.00992579395604;0.0010842072153
700;129;0.00533743368534;0.0102627218353;0.0099485405003;0.00102111079331
710;130;0.0056787508722;0.0102627218353;0.00989867393886;0.00110675748604
720;132;0.00555453935613;0.0102627218353;0.0100328356684;0.000862857454814
730;107;0.00524982903492;0.0102627218353;0.0100191376523;0.000866853207654
740;144;0.00521144287644;0.0102627218353;0.00984062798001;0.00123061749711
750;121;0.00566889097221;0.0102627218353;0.00994718787101;0.00102605462119
760;119;0.00555453935613;0.0102627218353;0.0100401723904;0.000858615447112
770;141;0.00586578529009;0.0102627218353;0.00999890312722;0.000936601669527
780;122;0.00569863017394;0.0102627218353;0.010125482033;0.000639225498462
790;112;0.00542110369111;0.0102627218353;0.0099494381745;0.00101201150901
800;124;0.00524208228648;0.0102627218353;0.0100739906375;0.000812013038485
810;127;0.00555453935613;0.0102627218353;0.00999121020817;0.000941543225201
820;129;0.00551797086533;0.0102627218353;0.0100562860357;0.000835579150378
830;126;0.00557310558174;0.0102627218353;0.0100072648778;0.00090216542138
840;128;0.00568866377885;0.0102627218353;0.0100340043097;0.000880448283822
850;139;0.00516649812996;0.0102627218353;0.00992904413605;0.00110620520291
860;120;0.00546448087432;0.0102627218353;0.0100214651586;0.000930902479233
870;125;0.00571872538751;0.0102627218353;0.009962021336;0.000981932776301
880;118;0.00553616219048;0.0102627218353;0.00991232742721;0.0010984852508
890;129;0.00552704349604;0.0102627218353;0.010036183191;0.00090784271383
900;132;0.00552704349604;0.0102627218353;0.00984322329073;0.00117290024643
910;122;0.00517390627488;0.0102627218353;0.00995533680408;0.0010298321091
920;129;0.00566889097221;0.0102627218353;0.00994917991144;0.00102036797813
930;124;0.00557310558174;0.0102627218353;0.0100014697932;0.000956431617545
940;119;0.00530505983311;0.0102627218353;0.00997982970506;0.000988698521346
950;120;0.00537876844566;0.0102627218353;0.0099192504694;0.00106388574439
960;125;0.00579081734739;0.0102627218353;0.0100091329209;0.000936533895583
970;126;0.00527328211552;0.0103249452583;0.0100182065388;0.00100880026054
980;111;0.00558246061968;0.0103249452583;0.0101061676642;0.000862212594567
990;116;0.00553616219048;0.0103249452583;0.0100341472325;0.000967236559395
1000;127;0.00571872538751;0.0103249452583;0.00999930840536;0.00105973137197
