sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
270;184;0.00455793345444;0.00553946048498;0.00547421883196;0.000157690474814
280;170;0.00459874812045;0.0056814245279;0.00556802141873;0.000180248002249
290;202;0.00472825909135;0.00578252715462;0.00570582490902;0.000178497385449
300;160;0.00455793345444;0.00595647345095;0.00585473844961;0.000193056859196
310;177;0.0047339008974;0.00614759672518;0.00606456119416;0.000207927572935
320;179;0.00472825909135;0.0063176227128;0.00619635431351;0.000269104571408
330;180;0.00494538124903;0.00644420370568;0.00632082627571;0.000280233430946
340;191;0.00475095095623;0.00653307146167;0.00640812088166;0.000325181623284
350;190;0.00485736316113;0.00665766773638;0.00652645437244;0.000342951196932
360;172;0.00508710141382;0.00672278202801;0.00661809595742;0.000310717750253
370;190;0.0049648874024;0.00684162626848;0.00667648461747;0.000363717314763
380;159;0.0049648874024;0.00700442134384;0.006904918013;0.000331559911197
390;175;0.00511553759044;0.00711985361865;0.0069369130318;0.000416659963771
400;169;0.00489449273139;0.00720016140665;0.00705568910938;0.000420398386893
410;171;0.00501133611683;0.00739162327706;0.00722981868755;0.000451047822828
420;190;0.00523437056064;0.00762405754682;0.00744582793538;0.000463114473699
430;186;0.00523437056064;0.00780095091242;0.00764337147376;0.00047911175234
440;179;0.00508006788702;0.00790793697303;0.00770184731463;0.000534294045093
450;182;0.0050660899514;0.00801961426377;0.00785632496037;0.000569464419923
460;178;0.0047739800433;0.00804830777161;0.00785067845927;0.000586675294198
470;169;0.00538715416342;0.0081363413182;0.00792103773312;0.00058346545244
480;172;0.0053621167261;0.00822743855441;0.00804234660571;0.000461928955917
490;166;0.0054732851624;0.00832178420422;0.008166907174;0.000499607798782
500;181;0.00520386861269;0.00841957911517;0.00820220541842;0.000632557259431
510;190;0.00537042274;0.00848679924408;0.00826971410497;0.000652151612668
520;177;0.00525761107447;0.00852104212564;0.00833258119108;0.00063584428399
530;184;0.00500461883973;0.00859083907485;0.00835296208706;0.000674570179316
540;177;0.00519632807122;0.00866244830692;0.00846432361598;0.000615604440677
550;172;0.00483911942649;0.00866244830692;0.00849508164684;0.000635313280122
560;176;0.00513718806146;0.00866244830692;0.00845518262221;0.000696823501049
570;158;0.00513718806146;0.00866244830692;0.00848076675073;0.000647702472349
580;185;0.0050660899514;0.00873595091344;0.00848998828283;0.000767236445871
590;188;0.00548213323967;0.00881143320706;0.00863427174093;0.000641509569657
600;177;0.00523437056064;0.00881143320706;0.00859827999925;0.000734562080565
610;167;0.00550894390789;0.00881143320706;0.00863596465314;0.00061710567987
620;190;0.00521144287644;0.00892857142857;0.00863951509403;0.000717038658957
630;165;0.00538715416342;0.00900941894844;0.00878293415645;0.000717358651695
640;172;0.00518882100016;0.00905070929447;0.00884554079491;0.000712344165204
650;183;0.0053621167261;0.00913509442583;0.00888748109841;0.000740676518356
660;171;0.00530505983311;0.00922198641437;0.00894080688967;0.000726284303669
670;173;0.00500461883973;0.00935730914691;0.0090501757576;0.000796358865402
680;177;0.00519632807122;0.00969891316717;0.00941496555564;0.000920220342742
690;181;0.00549102547406;0.00969891316717;0.00938488803969;0.000976921054195
700;184;0.00552704349604;0.00980392156863;0.00945878871008;0.000929411928419
710;184;0.00511553759044;0.00980392156863;0.00946803668124;0.00101580405105
720;156;0.00510838279994;0.00985777992617;0.00961545607168;0.000838710396057
730;179;0.00542110369111;0.00985777992617;0.00963079372328;0.000835479033475
740;179;0.00549996223788;0.00991257660819;0.00964420675188;0.000867806353332
750;176;0.00530505983311;0.0100250984481;0.00971749598397;0.000998382374081
760;181;0.00534562251022;0.0100250984481;0.00976376521606;0.000921779933379
770;189;0.0056203701315;0.0100250984481;0.00969631828695;0.00101675768883
780;187;0.00538715416342;0.0100828834322;0.009776818844;0.000991661884561
790;176;0.00534562251022;0.0100828834322;0.00980510267768;0.00094021183671
800;181;0.00522669359177;0.0100828834322;0.00986409157615;0.000842434914674
810;160;0.00522669359177;0.0100828834322;0.00982965819484;0.000923442766939
820;174;0.00558246061968;0.0100828834322;0.00976018225255;0.00100663839689
830;150;0.00521144287644;0.0100828834322;0.00980103514893;0.000959068413189
840;172;0.00592120395679;0.0100828834322;0.00983371708887;0.000873400970961
850;159;0.00584406117387;0.0100828834322;0.00989482522377;0.000741207601239
860;174;0.00534562251022;0.0101417265332;0.00977267372546;0.00098653755845
870;159;0.00548213323967;0.0101417265332;0.00989220334251;0.000883465033774
880;191;0.00499792912459;0.0102016610626;0.00993124109492;0.000895754236533
890;166;0.00552704349604;0.0103249452583;0.0100640834796;0.000782936594348
900;174;0.00531309667811;0.0103883694266;0.0100868905351;0.0010068665795
910;184;0.00548213323967;0.010453034226;0.0102516475079;0.000823216757977
920;176;0.00568866377885;0.0106549005062;0.0101630043355;0.00112064542138
930;178;0.00523437056064;0.0106549005062;0.0102900133983;0.00114098230584
940;176;0.00532928330638;0.0107965036946;0.0103957061128;0.00111954499975
950;169;0.00524982903492;0.0107965036946;0.0104668131123;0.00109631548459
960;184;0.00563962458543;0.0108695652174;0.0105746919927;0.00104716646095
970;179;0.00534562251022;0.0109442071689;0.0106598367222;0.00105134648195
980;172;0.0054732851624;0.0110984715848;0.0107299589405;0.00123690741517
990;164;0.00564932829556;0.0111782218108;0.0108471063162;0.00114418340637
1000;192;0.00529706024251;0.0111782218108;0.0108224909519;0.00118026572071
