sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
0;200;0.0026402184693;0.00384041406252;0.00351351255435;0.000208933722696
10;98;0.00384618331442;0.00391873880802;0.00389974129585;9.09123521343e-06
20;81;0.00390962122996;0.00399551178102;0.00396023700194;1.25041583807e-05
30;94;0.00391894566172;0.00404930329804;0.00403162170402;1.78203091501e-05
40;83;0.00396337051053;0.00414897123598;0.00411499308059;2.67586612599e-05
50;86;0.00397634689044;0.004186413848;0.00416634111412;2.98067748376e-05
60;82;0.00405009899445;0.00428470027972;0.00427009136655;2.34008711011e-05
70;88;0.0040570116966;0.00433865916767;0.00431125943199;4.04409366853e-05
80;78;0.0040570116966;0.00439034351435;0.00436327415529;4.58870770855e-05
90;82;0.00412452177729;0.00445765740602;0.00441405367489;5.65939334335e-05
100;75;0.0041465604215;0.00449486472255;0.00446995906692;4.37085308585e-05
110;83;0.00421100161507;0.00453303164336;0.00450228925532;4.38674891901e-05
120;86;0.00418410041841;0.00457716908849;0.00454524618529;6.94852485243e-05
130;85;0.00416896085256;0.0046537253991;0.00460576979317;8.34777481291e-05
140;102;0.00425435800602;0.00471240701716;0.00467422236498;8.22531746553e-05
150;82;0.004218784742;0.00479045131223;0.00474238727387;7.88217896063e-05
160;84;0.00429085905593;0.00484274792589;0.00481124664141;8.1778436506e-05
170;89;0.0043325542077;0.00489681987469;0.00485598746893;8.92628621783e-05
180;88;0.0043325542077;0.00496547021797;0.00491073212619;0.000113532381077
190;96;0.00446544488393;0.00504380606333;0.00498634223493;8.45545143188e-05
200;71;0.00443333002151;0.00515435349714;0.00511331011821;9.71870203163e-05
210;74;0.00444243394002;0.00519775133032;0.00514716122566;0.000127955869585
220;89;0.00455139048844;0.00528028905689;0.00520791431549;0.000127386549037
230;91;0.00458619981209;0.00539134729269;0.00529336521539;0.000161340381742
240;103;0.00478468899522;0.00550983871784;0.00543896636255;0.00012250275626
250;105;0.00472296617;0.00562728380724;0.00552611656847;0.000182477830785
260;82;0.0044378748802;0.00570346525296;0.00560531820826;0.000225157331556
270;92;0.00481356881564;0.00586576428056;0.00576579389593;0.000168829339443
280;85;0.0047451293734;0.00599717849554;0.00590677000391;0.000207342451548
290;83;0.00488510578267;0.00607811255627;0.0060136713601;0.00022667930811
300;71;0.00467956897354;0.00612588396416;0.00603664010774;0.000236465771936
310;81;0.00475633038855;0.00619973959582;0.00612857338475;0.000224848088162
320;82;0.00484893555303;0.00631580421476;0.00620880447494;0.000242228855825
330;88;0.00489121442999;0.00653963352416;0.00635631176562;0.000279976257786
340;84;0.00476196117023;0.00664548668155;0.00653072846643;0.000310260952588
350;80;0.00511384489939;0.00696152921371;0.00674354356223;0.000277907719064
360;80;0.00518543738274;0.00722626642088;0.00707685777261;0.000361026866766
370;80;0.00508603976175;0.007435435894;0.00726502863011;0.000445311893881
380;84;0.00512792237253;0.00757020973265;0.00738809767064;0.000485902750522
390;79;0.00514926186547;0.0078125;0.00752349257949;0.000583504903857
400;104;0.00519276592126;0.00796981663109;0.00779329206352;0.000486694933631
410;79;0.00537871360804;0.00831602756886;0.00809501283169;0.000539203260344
420;82;0.00543689363496;0.0086083308924;0.00821070473643;0.000705763693604
430;81;0.00561433939664;0.00897337385557;0.00872610793129;0.000543463851991
440;91;0.00552344270947;0.00934623555527;0.00899838876193;0.000724611990615
450;90;0.00646821335222;0.0095751957135;0.0093932784474;0.0005180340544
460;88;0.00556832492823;0.00962309878133;0.00938280010165;0.000848073075179
470;76;0.00552344270947;0.00962309878133;0.00934092219035;0.000870530846104
480;82;0.00526017612894;0.00982238040253;0.00951194515955;0.000747241126372
490;101;0.00540341436064;0.00982238040253;0.00961432095116;0.000801112415854
500;99;0.00533830023019;0.00982238040253;0.00955313489941;0.000870491697914
510;86;0.00586321319859;0.00987422308139;0.00968002443244;0.000733396689792
520;80;0.00519276592126;0.00987422308139;0.00956130882791;0.000964979794845
530;84;0.00559579468243;0.00998049366678;0.00978690004286;0.000711974076106
540;85;0.00533830023019;0.0100903758853;0.00983279441292;0.000869951299767
550;93;0.00614919490443;0.0100903758853;0.00993256009057;0.000634408772006
560;81;0.00544536283131;0.0100903758853;0.00991442024224;0.000719888797662
570;91;0.00611260961155;0.0100903758853;0.00992331475742;0.00064774007994
580;94;0.00604139229391;0.0101467368954;0.00988110701898;0.000761929215476
590;82;0.00556832492823;0.0103218407572;0.00999698587068;0.000931215985524
600;95;0.00543689363496;0.0105066320158;0.0100794631325;0.00115446757853
610;86;0.00587388228581;0.0105066320158;0.0101550713334;0.00109625693735
620;85;0.00568075527103;0.0105066320158;0.010256716922;0.000897318515071
630;90;0.0057001763196;0.0106356669398;0.0103616059809;0.000652624774554
640;74;0.00556832492823;0.0107020505049;0.0104485886006;0.000801375784591
650;96;0.00589539966725;0.0109810179387;0.0104202827641;0.0011222599139
660;86;0.00541172517968;0.0109810179387;0.0105797919094;0.00120020060311
670;85;0.00600672185284;0.0112056891136;0.0107444382714;0.00109648173105
680;91;0.00512792237253;0.0112056891136;0.0109915928632;0.000961640405372
690;79;0.00618645829815;0.0114452436389;0.0110208104165;0.0010405239894
700;86;0.00625012935012;0.0114452436389;0.0111520205716;0.00101450456966
710;103;0.00592813227219;0.0114452436389;0.0110858392701;0.0010937688086
720;90;0.00579015140677;0.0114452436389;0.0110532877985;0.00126995292202
730;82;0.00593916720665;0.0114452436389;0.0112169517634;0.000916775239859
740;84;0.00575967934903;0.0114452436389;0.0111118591548;0.00115401956885
750;93;0.00595026516539;0.0114452436389;0.0110166067134;0.00129733114913
760;104;0.00548832115903;0.0114452436389;0.0110840230262;0.00119057391017
770;86;0.00539514236067;0.0114452436389;0.0111530204387;0.00111461766233
780;89;0.00499223047447;0.0114452436389;0.011108172896;0.00113964649329
790;86;0.00585260310741;0.0114452436389;0.0111653816676;0.00105948174238
800;92;0.00536243653499;0.0114452436389;0.0111059396102;0.00117901093086
810;86;0.00547964674803;0.0114452436389;0.0109312799326;0.0014305490388
820;90;0.00566153489212;0.0114452436389;0.0110471305224;0.00125395879425
830;88;0.0059062490893;0.0114452436389;0.0109344155829;0.00144016670609
840;90;0.00627616518423;0.0114452436389;0.0111567949134;0.000985323535934
850;90;0.00554126273048;0.0114452436389;0.0109917885192;0.00138199145797
860;69;0.00595026516539;0.0114452436389;0.011052107763;0.00124078140172
870;88;0.00593916720665;0.0114452436389;0.0111690159562;0.00103611029794
880;101;0.00579015140677;0.0114452436389;0.0109768474995;0.00131441738774
890;85;0.00553233081931;0.0114452436389;0.0111813498962;0.00105628576444
900;85;0.00601821099375;0.0114452436389;0.0111531278694;0.00107416597398
910;100;0.00604139229391;0.0114452436389;0.0111458642605;0.00107903056282
920;97;0.00553233081931;0.0114452436389;0.0109800758707;0.00134521499341
930;80;0.00559579468243;0.0114452436389;0.011097085343;0.00116392423733
940;84;0.00573963468234;0.0114452436389;0.0111874176896;0.00103267429766
950;93;0.00634273525016;0.0117014263686;0.0113569894833;0.00111994959503
960;102;0.0059062490893;0.0117014263686;0.0112975478066;0.00130504364552
970;92;0.00601821099375;0.0117014263686;0.0114136264863;0.00103005585832
980;91;0.00575967934903;0.0117014263686;0.0113572480886;0.00115543775066
990;105;0.00564251172659;0.0119762853713;0.0112428804407;0.00144543424507
1000;96;0.00577993939627;0.0119762853713;0.0115394600816;0.00131098838278
