sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;620.0;1356.0;683.093;130.076578795;1.0;46.0;23.398;12.9811246046
10;1000;585.0;616.0;611.928;4.39895623984;13.0;18.0;14.032;0.843193927872
20;1000;553.0;574.0;569.544;4.90347468638;13.0;16.0;13.297;0.524205112528
30;1000;539.0;550.0;548.154;1.58817001609;13.0;15.0;13.21;0.431161222746
40;1000;513.0;528.0;524.722;2.52045948192;13.0;14.0;13.071;0.256824843035
50;1000;499.0;509.0;507.108;1.59070298925;13.0;14.0;13.021;0.143384099537
60;1000;486.0;494.0;492.27;1.37662631095;13.0;14.0;13.009;0.0944404574322
70;1000;463.0;477.0;474.586;2.25756594588;13.0;14.0;13.001;0.0316069612586
80;1000;452.0;461.0;459.413;1.53311154193;13.0;13.0;13.0;0.0
90;1000;437.0;448.0;446.408;1.88455193614;13.0;14.0;13.001;0.0316069612586
100;1000;421.0;433.0;430.735;1.92737515808;13.0;13.0;13.0;0.0
