sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;618.0;1384.0;694.899;148.186304357;1.0;46.0;22.921;13.2111603957
10;1000;990.0;1153.0;1105.955;24.0448533994;1.0;1.0;1.0;0.0
20;1000;864.0;982.0;951.027;18.3939737686;1.0;1.0;1.0;0.0
30;1000;719.0;849.0;807.687;22.1887591136;1.0;1.0;1.0;0.0
40;1000;573.0;737.0;678.193;20.7605816633;1.0;1.0;1.0;0.0
50;1000;519.0;602.0;565.185;15.1078381974;1.0;1.0;1.0;0.0
60;1000;493.0;563.0;520.571;9.57063002106;1.0;1.0;1.0;0.0
70;1000;487.0;558.0;501.899;8.39445048827;1.0;1.0;1.0;0.0
80;1000;482.0;522.0;493.309;4.17271122893;1.0;1.0;1.0;0.0
90;1000;481.0;537.0;488.657;6.51516315989;1.0;1.0;1.0;0.0
100;1000;480.0;500.0;484.739;3.40395049905;1.0;1.0;1.0;0.0
