sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;619.0;1398.0;687.83;135.445720124;1.0;46.0;22.653;13.2763169215
10;1000;610.0;1491.0;998.009;262.730354011;1.0;54.0;6.605;9.48593564178
20;1000;603.0;1576.0;1022.808;287.388136735;1.0;59.0;7.154;10.7672783934
30;1000;590.0;1612.0;1036.765;309.223873229;1.0;63.0;7.815;12.0736396749
40;1000;575.0;1683.0;1060.473;335.345733939;1.0;68.0;8.615;13.4935086245
50;1000;560.0;1740.0;1074.747;355.66798702;1.0;74.0;9.381;15.1176664535
60;1000;545.0;1768.0;1096.453;373.690277892;1.0;79.0;10.092;16.6010100898
70;1000;534.0;1799.0;1096.211;391.288449202;1.0;88.0;11.569;19.1743380329
80;1000;533.0;1828.0;1101.238;395.962030195;1.0;93.0;12.644;20.6183720017
90;1000;529.0;1864.0;1107.187;403.763495169;1.0;100.0;13.781;22.8793583608
100;1000;529.0;1882.0;1120.685;420.962582393;1.0;107.0;15.252;25.036343503
