sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;622.0;1370.0;688.523;139.317757199;1.0;46.0;23.568;13.6187141831
10;1000;599.0;618.0;614.745;4.56332937667;13.0;22.0;15.609;1.96319102484
20;1000;581.0;591.0;588.84;1.53049011758;14.0;19.0;15.895;0.876341828284
30;1000;574.0;580.0;578.21;1.11081051489;16.0;20.0;16.752;0.8535197713
40;1000;567.0;573.0;571.383;0.924289456826;16.0;19.0;16.784;0.611018821314
50;1000;558.0;565.0;563.825;1.04133327998;16.0;19.0;17.092;0.373545177991
60;1000;552.0;557.0;556.086;0.834628060875;17.0;18.0;17.012;0.108885260711
70;1000;545.0;550.0;549.003;1.14934372578;17.0;19.0;17.006;0.0892412460693
80;1000;538.0;543.0;541.752;0.739253677705;17.0;18.0;17.005;0.0705336798983
90;1000;532.0;537.0;536.053;0.86266505667;17.0;18.0;17.003;0.0546900356555
100;1000;527.0;531.0;530.179;0.8561302471;17.0;18.0;17.002;0.0446766158074
