sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;623.0;1430.0;687.908;133.431186519;1.0;46.0;23.035;13.3696587466
10;1000;607.0;621.0;618.896;2.23140852378;11.0;21.0;13.994;1.78492688926
20;1000;591.0;606.0;602.567;2.09559323343;11.0;15.0;12.751;0.746323656331
30;1000;571.0;589.0;586.014;2.76655092127;12.0;15.0;12.567;0.545445689322
40;1000;559.0;571.0;567.612;2.13575654043;12.0;14.0;12.883;0.383811151479
50;1000;539.0;552.0;548.914;2.00962782624;13.0;14.0;13.003;0.0546900356555
60;1000;527.0;536.0;534.052;1.74565059505;13.0;14.0;13.001;0.0316069612586
70;1000;510.0;523.0;521.332;1.55427668065;13.0;13.0;13.0;0.0
80;1000;500.0;510.0;508.41;1.43940960119;13.0;13.0;13.0;0.0
90;1000;491.0;497.0;495.614;1.29807703932;13.0;13.0;13.0;0.0
100;1000;473.0;486.0;484.102;1.78426343346;13.0;13.0;13.0;0.0
