sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;618.0;1426.0;690.179;143.90638957;1.0;46.0;23.654;13.2903078971
10;1000;574.0;1097.0;682.032;141.822815428;1.0;17.0;7.369;3.90600038402
20;1000;537.0;970.0;613.351;94.8891447901;1.0;12.0;6.228;2.74845702168
30;1000;509.0;837.0;555.073;62.7962870797;1.0;10.0;5.599;1.94427338613
40;1000;487.0;720.0;517.534;39.9094330203;1.0;9.0;5.622;1.698562922
50;1000;461.0;609.0;490.148;19.0773713074;1.0;8.0;5.893;1.50451021931
60;1000;435.0;559.0;494.077;43.857805132;1.0;7.0;2.608;1.87625584609
70;1000;400.0;528.0;499.204;43.8350588456;1.0;4.0;1.354;0.700488401046
80;1000;366.0;511.0;498.4;34.8421009699;1.0;2.0;1.084;0.277387815161
90;1000;343.0;500.0;484.389;40.8274868073;1.0;2.0;1.083;0.275882221247
100;1000;305.0;492.0;486.103;24.4261006098;1.0;2.0;1.02;0.14
