sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;626.0;1404.0;683.915;132.218666515;1.0;46.0;23.435;13.3138189487
10;1000;602.0;621.0;617.642;2.94411888347;13.0;25.0;15.279;1.42308081288
20;1000;579.0;591.0;587.959;2.38271252987;13.0;22.0;15.949;2.69451275744
30;1000;554.0;574.0;572.458;2.18637508219;13.0;15.0;13.205;0.465805753507
40;1000;540.0;549.0;547.274;1.7902301528;13.0;15.0;13.015;0.12951833847
50;1000;529.0;536.0;534.416;1.40247780731;13.0;15.0;13.021;0.15019653791
60;1000;517.0;524.0;522.466;1.46657560323;13.0;14.0;13.001;0.0316069612586
70;1000;504.0;512.0;510.56;1.4602739469;13.0;14.0;13.013;0.113274004079
80;1000;490.0;501.0;499.121;1.69125958977;13.0;13.0;13.0;0.0
90;1000;478.0;487.0;485.127;1.64282409284;13.0;13.0;13.0;0.0
100;1000;469.0;476.0;474.143;1.11290206218;13.0;13.0;13.0;0.0
