sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;625.0;1403.0;684.167;133.565680888;1.0;46.0;23.414;13.1126124018
10;1000;589.0;624.0;621.425;4.37497142848;15.0;25.0;17.889;1.75404646461
20;1000;581.0;586.0;585.397;0.867980990575;17.0;21.0;17.982;0.869296267103
30;1000;571.0;578.0;577.332;0.980701789536;17.0;20.0;17.672;0.925427468795
40;1000;561.0;569.0;567.604;1.11945701123;17.0;19.0;17.171;0.419236210268
50;1000;545.0;558.0;555.757;1.98341901776;17.0;19.0;17.236;0.447553348775
60;1000;536.0;543.0;542.296;0.991152864093;17.0;18.0;17.144;0.35108973212
70;1000;529.0;535.0;533.615;1.1978209382;17.0;19.0;17.072;0.280741874326
80;1000;522.0;525.0;524.294;0.71523702365;17.0;18.0;17.015;0.121552457811
90;1000;513.0;520.0;518.618;0.840283285565;17.0;18.0;17.012;0.108885260711
100;1000;501.0;511.0;509.035;2.04151291938;17.0;18.0;17.007;0.0833726573884
